inputs,labels,predictions
"Kdo fotografii pořídil, William a Kate neuvedli, není ani jasné, kdy přesně vznikla.","William and Kate did not specify who took the photo, nor is it clear exactly when it was taken.","Here is the translation of the given Czech sentence to English:

Who took the photograph, William and Kate did not specify, nor is it clear exactly when it was taken."
Loni královská rodina pro fotografii určenou jako vánoční přání pózovala na balíku slámy před hromadou dřeva ve svém venkovském sídle v hrabství Norfolk.,"For the Christmas card photo last year, the royal family posed on a bale of straw in front of a stack of wood at their country estate in Norfolk.","Here is the translation from Czech to English:

 Last year the royal family posed for a Christmas photo shoot in front of a bundle of straw and a pile of wood at their country estate in Norfolk."
"Snímek, který poslouží jako vánoční přání, zveřejnili také následník trůnu princ Charles s manželkou Camillou.","The image, which will be used for the Christmas card, was also posted by the heir to the throne, Prince Charles, and his wife, Camilla.","Here is the translation:

 The photo, which will serve as a Christmas greeting, was also released by Prince Charles and his wife Camilla."
Fotograf Sam Hussein je zachytil v červnu na dostizích v Ascotu.,Photographer Sam Hussein captured them at the Ascot racecourse in June.,"Here is the translation:

Photographer Sam Hussein captured in June on the rooftops in Ascot."
"Charles, který má na hlavě cylindr a na obličeji roušku, pomáhá Camille nasadit její roušku barevně sladěnou se světlými šaty.","Charles, who is wearing a top hat and a face mask, helps Camilla put on her mask, which matches her light-colored dress.","Here is the translation from Czech to English:

""Charles, who has a cylinder on his head and a mask on his face, helps Camille put on her mask, which is color-coordinated with her light-colored dress."""
"Slavia podle efotbal.cz slíbila Berbrovi milion za titul, Tvrdík to popřel.","According to efotbal.cz, Slavia promised Berbr a million for the title, Tvrdík denied it.","Here is the translation:

Slavia, according to efotbal.cz, promised Berbrow a million for the title, Tvrdík denied it.

Note: I assume ""Berbrovi"" is a typo and it should be ""Berb"
"Praha – Kriminalisté v současné korupční kauze údajně pracovali s tím, že obviněný bývalý místopředseda Fotbalové asociace ČR Roman Berbr měl mít od pražské Slavie slíbený milion korun za ligový titul v sezoně 2018/19.","Prague - In the current corruption case, the criminal investigators have allegedly worked with the fact that the accused former vice chairman of the Football Association of the Czech Republic Roman Berbr had a million crowns pledged by the Prague’s Slavia team for the league title of the 2018/19 season.","Here is the translation from Czech to English:

Prague - Police in the current corruption case allegedly worked with the assumption that the accused former vice-president of the Czech Football Association Roman Berbr had a million koruna promised to him by Prague Slavia for"
"Informoval o tom server efotbal.cz s tím, že se dostal k části policejních spisů.",The server efotbal.cz reported that it got access to part of the police files.,"Here is the translation:

He informed the server efotbal.cz that he had obtained a part of the police files."
"Předseda představenstva vršovického klubu Jaroslav Tvrdík uvedl, že se červenobílí žádného korupčního jednání nedopustili.","Jaroslav Tvrdík, the Chairman of the Board of Directors of the Vršovice club, said the Red and Whites had not committed any corrupt acts.","Here is the translation of the given Czech sentence to English:

The chairman of the board of the Vršovice club Jaroslav Tvrdík stated that the red-and-whites did not engage in any corrupt behavior."
"Server zveřejnil přepis policejních odposlechů, v nichž ze Slavie figuruje hlavně její někdejší sportovní ředitel Jan Nezmar, který vloni v létě v mistrovském klubu skončil.",The server has published a transcript of the police wiretaps which mainly feature Slavia's former sports director Jan Nezmar who quit the championship club last summer.,"Here is the translation from Czech to English:

The server published a transcript of police wiretaps in which Slavia is mainly featured by its former sports director Jan Nezmar, who left the champion club last summer."
"Někdejší vlivný funkcionář červenobílých byl podle spisu v častém kontaktu jak s Berbrem, tak s bývalým sportovním ředitelem tehdy druholigového Vyšehradu Romanem Rogozem, jenž je v kauze rovněž mezi obviněnými.","According to the case file, the former influential Red-White official was in frequent contact with both Berber and Roman Rogoz, the former sports director of the then second-league Vyšehrad team, who is also among the accused in the case.","Here is the translation from Czech to English:

A former influential functionary of the white-and-reds was, according to the file, in frequent contact with Berb and the former sports director of the then second-division Vyšehrad, Roman"
"Kriminalisté údajně pracovali s informací, že Slavia Berbrovi slíbila finanční odměnu za to, když získá titul.",The criminal investigators allegedly worked with information that Slavia promised Berbr a financial reward if they would win the title.,"Here is the translation of the given Czech text to English:

The police allegedly worked with the information that Slavia Berbrovi promised a financial reward for winning the title."
2019 vyhrál tým SK Slavia Praha titul v první lize.,The SK Slavia Praha team won the first league title in 2019.,"Here is the translation:

In 2019, the SK Slavia Prague team won the title in the first league."
"Policejní orgán disponoval s poznatkem, že za výhru v lize má mít Roman (Berbr) od funkcionářů SK Slavia Praha slíbený milionový úplatek, citoval server ze spisu.",The server quoted from the file that the police authorities had information that Roman (Berbr) was promised a million-crown bribe by the SK Slavia Prague officials for winning the league.,"Here is the translation from Czech to English:

The police authority had knowledge that Roman (Berbr) was promised a one-million-crown bribe by officials of SK Slavia Prague for winning the league, the server quoted from the file."
"O den později se podle kriminalistů sešel Berbr nejen s Nezmarem, ale také s předsedou představenstva Slavie Tvrdíkem.","A day later, according to the criminal investigators, Berbr met not only with Nezmar, but also with Tvrdík, the Chairman of the Board of Directors of the Slavia team.","Here is the translation of the text from Czech to English:

""A day later, according to the investigators, Berbr met not only with Nezmare, but also with the chairman of the board of Slavia Tvrdíkem."""
"Ze spisu už podle serveru dále nevyplývá, zda se policie touto informací stále zabývá.","According to the server, the file no longer shows whether the police are still looking into this information.","Here is the translation of the given Czech sentence to English:

According to the server, it is not clear from the file whether the police are still dealing with this information."
Tvrdík jakékoli korupční jednání odmítl.,Tvrdík has denied any corrupt conduct.,"Here is the translation of the given Czech sentence to English:

Tvrdík rejected any corrupt behavior."
V letech 2015 až 2017 jsme se aktivně snažili o změnu poměrů v českém fotbale a nabídli jsme oponentní alternativu jeho rozvoje.,"Between 2015 and 2017, we actively tried to change the situation in Czech football and offered an alternative for its development.","Here is the translation of the given text from Czech to English:

""In the years 2015 to 2017, we actively sought to change the situation in Czech football and offered an opposing alternative to its development."""
"Nikdy jsme se nedopustili nezákonného jednání, neusilovali o ovlivnění rozhodčích v rozporu s pravidly fair play a nikomu jsme neposkytli jakékoliv finanční plnění v této souvislosti,"" uvedl Tvrdík pro Seznam Zprávy.","We have never committed any illegal acts, we have not sought to influence referees in violation of the rules of fair play and we have not provided any financial compensation to anyone in this regard,"" Tvrdík told to Seznam Zprávy website.","Here is the translation from Czech to English:

""We have never engaged in any illegal conduct, we have never sought to influence referees in a way that would be contrary to the principles of fair play, and we have not provided any financial compensation to anyone in"
V odposleších mimo jiné Nezmar nevybíravě uráží některé bývalé hráče Slavie tmavé pleti a také pomlouvá svého někdejšího šéfa Tvrdíka.,"In the wiretaps, among other things, Nezmar indiscriminately insults some dark-skinned former Slavia players and also bad-mouths his former boss, Tvrdík.","Here is the translation of the text from Czech to English:

 In the aftermath, among other things, Nezmar unscrupulously insults some former Slavia players of dark skin and also slanders his former boss Tvrdík."
Kauzu údajného ovlivňování zápasů prostřednictvím rozhodčích rozpoutal loni v polovině října policejní zásah na několika místech včetně pražského sídla FAČR.,"The case of alleged match-fixing by referees was sparked last year in mid-October by a police raid on several locations, including the Prague headquarters of the FAČR.","Here is the translation of the text from Czech to English:

 The case of alleged match-fixing through referees sparked a police raid last October in several locations, including the FAČR headquarters in Prague."
"Nejvýše postaveným v aféře je Berbr, který už nefiguruje v žádné z fotbalových funkcí.","The most senior figure in the affair is Berbr, who is no longer involved in any football function.","Here is the translation:

The highest-ranking figure in the scandal is Berbr, who no longer holds any position in football."
V polovině ledna byl stejně jako někdejší sportovní ředitel Vyšehradu Rogoz propuštěn z vazby.,"He was released from custody in mid-January like the former sports director of Vyšehrad, Rogoz.","Here is the translation of the given text from Czech to English:

In mid-January, he was released from custody, just like the former sports director of Vyšehrad Rogoz."
"Vrtulníky, tanky a bvp jsou larping studené války.","Helicopters, tanks and APCs are larping the Cold War.","Here is the translation from Czech to English:

""Helicopters, tanks, and BVPs are Cold War LARPing.""

Note: LARPing is a colloquialism that stands for Live Action Role Playing, which is a form"
"Děla budou nová, ale v zásadě horšího typu (dělostřelci musí z pancéřované kabiny a nosit nábojky ručně bez krytí).","The cannons will be new, but basically an inferior type (gunners have to get out of the armored cab and carry the cartridges by hand without cover).","Here is the translation from Czech to English:

""The guns will be new, but of a basically worse type (gunners must fire from an armoured cabin and load cartridges by hand without cover).""

Let me know if you'd like me to help"
Auta - Toyoty hi-lux - jsou nová a dobrá,The cars - Toyotas hi-lux - are new and good,"Here is the translation from Czech to English:

""Vehicles - Toyota Hi-Lux - are new and good"""
"Náklaďáky a různá pancéřová vozidla - na slušné úrovni, navíc už se podařilo zbavit se Pragy V3S i u specializovaných jednotek.","Trucks and various armored vehicles (at a decent level), plus they've managed to get rid of the Praga V3S even in specialized units.","Here is the translation:

Trucks and various armored vehicles - at a decent level, and it has already been possible to get rid of the Praga V3S even in specialized units."
"Letadla: bojová- slušná, ale na konci pronájmu, dopravní - moc malá s krátkým doletem, ale moderní.","Aircraft: fighter- decent but at the end of its lease, transport - too small with a short range but modern.","Here is the translation from Czech to English:

""Airplanes: fighter - decent, but at the end of the rental, commercial - very small with a short flight, but modern.""

Note: I've tried to preserve the original tone and nuance"
Drony - málo a jen malé typy bez bojového potenciálu,Drones - few and only small types without combat potential,"Here is the translation from Czech to English:

""Drones - few and only small types without combat potential""

Let me know if you'd like me to help with anything else!"
Rakety - nemáme vůbec (ale vyrábíme a vyvážení do zahraničí),Missiles - we have none at all (but we produce and export abroad),"Here is the translation from Czech to English:

""Rockets - we don't have any (but we manufacture and export them abroad)"""
"PVO: střední - studenoválečné, zastaralé; krátkého dosahu - dobré, moderní, relativně dobrý počet.","SHORAD: medium - cold war, obsolete; short range - good, modern, relatively favorable number.","Here is the translation from Czech to English:

PVO: medium - obsolete, post-war; short-range - good, modern, relatively good number.

Note: PVO stands for Protivozdushnaya Oborona, which is Russian"
Mam takovou story.,I have a story.,"Here is the translation of ""Mam takovou story"" from Czech to English:

I have such a story.

(Note: ""story"" in this context is likely being used to mean ""a funny or interesting anecdote"" rather than a literal story"
Honitbu mam hned vedle města.,I've got a hunting district just outside the town.,"Here is the translation of the given Czech sentence into English:

""I have a hunting ground right next to the city."""
"Z řeky lezli nutrie a dělali škody na plodinách, tak jsem tam byl sednou.","Nutria were crawling out of the river and doing damage to the crops, so I sat there.","Here is the translation of the given Czech sentence to English:

""There were beavers from the river and they were causing damage to the crops, so I was there to catch them.""

Note: The word ""sednou"" is a bit tricky to translate"
"Když jsem přicházel, tak jsem viděl, že na druhem břehu řeky je rybář.","As I came up, I saw that there was someone fishing on the other side of the river.","Here is the translation of the given Czech sentence to English:

When I arrived, I saw that on the other side of the river there was a fisherman."
"Nechtěl jsem dělat bordel, tak jsem si v klidu sedl a týpek si mě asi nevšiml.","I hadn’t wanted to make a mess, so I sat down quietly and the bloke probably didn't notice me.","Here is the translation of the given Czech sentence to English:

""I didn't want to make a mess, so I sat quietly and the guy probably didn't notice me."""
"Doufal jsem, že odejde, než něco vyleze, ale samozřejmě za chvílu šla liška.","I was hoping he would leave before anything came out, but of course a fox came a moment later.","Here is the translation of the given Czech sentence to English:

I had hoped she would leave before something came out, but of course, the fox came out soon after."
"Nechal jsem ji přijít na 40 metrů, než jsem se rozhodl střílet.",I let it approach within 40 meters before I decided to shoot.,"Here is the translation of the given Czech sentence to English:

I let her come to 40 meters before I decided to shoot."
"Chudák rybář se málem posral, mával čelovkou na všechny strany, tak jsem na něj zavolal, že to bylo na lišku.","The poor fisherman almost shat himself, waving his head torch everywhere, so I called out to him that it was just a fox.","Here is the translation from Czech to English:

""Poor fisherman almost got eaten, he waved his arms wildly in all directions, so I called out to him that it was a fox."""
Než jsem slezl z posedu byl fuč.,"By the time I got off the deer-stand, he was gone.","A rather... colorful phrase!

Here's the translation from Czech to English:

""Before I got off the bus, I was freaking out.""

Or, in a more literal translation:

""Before I got off the bus, I was going crazy.""

Note"
Tzn. I louka muže bejt pruser.,I.e. Even a meadow can be a mess.,"Here is the translation from Czech to English:

I.e. the meadow should be a meadow.

Note: ""Tzn."" is an abbreviation of ""tzně"", which is a Czech way of saying ""tj."" (tj"
"Na druhou stranu není to válka, to by musela bejt souhra spousty náhod aby se něco stalo, pravděpodobně bys byl vidět v termovizy, kterou ma dnes skoro každej.","On the other hand, it's not a war, it would have to be a confluence of a lot of coincidences for something to happen, you'd probably be seen in a thermal imaging camera, which almost everyone has nowadays.","Here is the translation from Czech to English:

""On the other hand, it's not a war, it would have to be a combination of a lot of coincidences for something to happen, probably you would be visible on the thermal imaging camera, which"
"Takže na viditelne místo, drahe věci si dat k noham do spacaku a měl bys byt v pohodě.","So, in a visible place, put your expensive stuff at your feet in your sleeping bag and you should be fine.","Here is the translation from Czech to English:

""So on a visible place, put expensive things in your backpack and you should be fine.""

Note: The translation is quite literal, but the original sentence has a bit of a casual tone, so the translation"
Vojtěch versus Hamáček.,Vojtěch vs. Hamáček.,"The translation of ""Vojtěch versus Hamáček"" from Czech to English is:

Vojtěch versus Hamáček.

However, if you'd like a more idiomatic translation, it could be:

Vojtěch vs."
Vnitro sehnalo respirátory podstatně levněji než ministerstvo zdravotnictví,The Ministry of the Interior got respirators much cheaper than the Ministry of Health,"Here is the translation:

 Interior Ministry bought respirators significantly cheaper than the Ministry of Health."
"Stát, zodpovědný za nákup a distribuci roušek, masek a respirátorů pro profese nejblíže koronaviru, vydal v minulých týdnech miliardy korun na jejich pořízení.","The state, responsible for the purchase and distribution of face coverings, masks and respirators for professions closest to the coronavirus, has spent billions of crowns on their acquisition in recent weeks.","Here is the translation of the text from Czech to English:

""The state, responsible for the purchase and distribution of masks, respirators, and face masks for professions closest to the coronavirus, has issued billions of crowns in recent weeks for their procurement."""
"Server iRozhlas porovnal nákupy jednotlivých ministerstev a zjistil, že během jediného dne se částky na respirátor lišily až o stovky korun.",The iRozhlas server compared the purchases of individual ministries and found that within a single day the amounts for a respirator varied by hundreds of crowns.,"Here is the translation:

The iRozhlas server compared the purchases of individual ministries and found that the amounts for respirators differed by hundreds of crowns over the course of a single day."
Proč se ceny tak dramaticky hýbaly?,Why did prices fluctuate so dramatically?,"Here is the translation:

Why did prices move so dramatically?"
Které úřady se chovaly hospodárně?,Which institutions have been cost-effective?,"Here is the translation of the Czech sentence to English:

Which authorities acted economically?"
A proč jiné nakupovaly dráž?,And why did others buy at a higher price?,"Here is the translation:

And why did others buy it cheaper?"
Lenka Kabrhelová mluví s redaktorkou serveru iRozhlas Dominikou Kubištovou.,Lenka Kabrhelová speaks to the editor of the iRozhlas server Dominika Kubištová.,"Here is the translation:

Lenka Kabrhelová talks to iRozhlas editor Dominika Kubištová."
"Vojáků a armády si vážím (asi nejsem zasažen vzpomínkami na ČSLA, které prodělaly starší generace), ale ČR nedokáže z povinné vojny benefitovat.","I respect soldiers and the army (I guess I am not affected by the memories of the CSLA that the older generations went through), but the Czech Republic cannot benefit from compulsory war.","Here is the translation from Czech to English:

""I respect soldiers and the army (I'm not affected by memories of the Czechoslovak People's Army, which older generations experienced), but the Czech Republic cannot benefit from compulsory military service."""
"My ani nemáme velké sklady techniky, které by se vycvičení mohli chopit, nemáme vlastně moderní techniku ani pro stávající profesionály, navíc moderní technika je pořád složitější, takže schopnosti záložáků budou rapidně ztrácet v čase.","We don't even have large warehouses of equipment for the trained to use, we don't really have modern equipment even for existing professionals, plus modern equipment is getting more and more complex, so the abilities of reservists will rapidly diminish over time.","Here is the translation from Czech to English:

""We don't have large technical reserves that the trainees could take over, we don't actually have modern technology even for the current professionals, and besides, modern technology is still getting more complicated, so the"
"K tomu moderní konvenční konflikty, kam je kdo může nasadit, se budou odehrávat velice rychle, nebude čas někoho znovu cvičit.","On top of that, modern conventional conflicts where anyone can deploy them will happen very quickly, there won't be time to train anyone again.","Here is the translation:

To modern conventional conflicts, where anyone can be deployed, will be happening very quickly, there won't be time to retrain anyone."
"A nakonec, záložáci/teritoriální obrana mají velký význam pro země, jako je Ukrajina, kde jde vést masovou gerilu a je to i vyslovená nutnost k odstrašení nepřítele.","And finally, reservists/territorial defense is of great importance for countries like Ukraine, where it’s possible to lead a mass guerrilla force and it’s also a decided necessity to deter the enemy.","Here is the translation from Czech to English:

 ""And finally, the reserve/territorial defense has great significance for countries like Ukraine, where it is necessary to lead a mass guerrilla warfare and it is also a declared necessity to deter the enemy."""
"Na území ČR se povede boj jedině v konfliktu takového rozsahu a intenzity, kde už gerila bude irelevantní, a nemáme k tomu ani vhodnou geografii.","The only way to fight on the territory of the Czech Republic will be in a conflict of such scale and intensity, where guerrillas will be irrelevant, and we do not even have suitable geography.","Here is the translation of the given text from Czech to English:

In the territory of the Czech Republic, the fight will be waged only in a conflict of such scope and intensity where guerrilla warfare will be irrelevant, and we don't even have suitable"
hlavně nemáme individuální skill.,"mainly, we don't have individual skill.","Here is the translation of the given Czech sentence to English:

""We mainly don't have individual skills.""

Or, in a more idiomatic translation:

""Our main problem is that we lack individual skills."""
To ani není to nejhorší.,That's not even the worst part.,"Here is the translation of the Czech sentence to English:

""It's not even the worst."""
"Nejhorší je, že půlka z nich hraje, jako kdyby ho měla.",The worst part is that half of them play like they’ve got it.,"Here is the translation of the given Czech sentence to English:

The worst thing is that half of them play as if they owned it."
"To pak nastávaj takový situace, že koukáš jak frajer, kterej 2 minuty zpátky netrefil prázdnou bránu, najíždí do útoku sám mezi 2 nebo dokonce 3 švýcary a řikáš si ""tvl a co si asi myslíš že se teď stane?"".","Then there are situations when you watch a dude who missed an empty net 2 minutes ago, run into the attack alone between 2 or even 3 Swiss and you think ""what do you think is going to happen now?"".","Here is the translation of the given text from Czech to English:

Then comes a situation where you're watching like a guy who 2 minutes ago missed an empty goal, he drives into the attack alone between 2 or even 3 Swiss players and"
No samozřejmě že ho voberou jak průměrnýho daňovýho poplatníka.,"Well, of course they're gonna take him like an average Joe.","Here is the translation:

No, of course they won't take him as an average taxpayer.

(Note: I tried to preserve the informal tone of the original sentence, but if you'd like a more formal translation, I can provide that as well.)"
"Ta situaci s tímhle skillem ""povodit si obránce"" je tak strašná, že jsem se přistih že jsem upřímně překvapenej, když vidim že náš útočník dokázal obehrát jednoho hráče soupeře.","The situation with this ""lash the defender"" skill is so terrible that I found myself honestly surprised to see that our striker was able to run around one of the opponent's players.","Here is the translation from Czech to English:

""This situation with this skill ""to lead the defense"" is so terrifying that I find myself genuinely surprised when I see our attacker manage to beat one of the opponent's players.""

Note: I've tried to"
První vlaštovky,The first swallows,"The translation of ""První vlaštovky"" from Czech to English is:

First swallows"
"Covidová pandemie zpomaluje, nicméně odborníci pro následující týdny nečekají nějaký zásadní zvrat.","The epidemic is slowing down, but experts do not expect any major reversal in the coming weeks.","Here is the translation:

The COVID-19 pandemic is slowing down, but experts do not expect a significant turnaround in the coming weeks."
"Nápor v nemocnicích podle statistických modelů ještě nějaký čas vydrží a do pandemické rovnice přibyla, jak známo, nová neznámá: varianta omikron, která se velmi pravděpodobně šíří rychleji než v současnosti převládající Delta.","The assault on hospitals will last for some time according to statistical models, and a new unknown has been added to the pandemic equation: the Omicron variant, which is very likely to spread faster than the currently prevailing Delta.","Here is the translation from Czech to English:

""The pressure on hospitals according to statistical models will last for a while longer and a new unknown has been added to the pandemic equation, as is known, the omicron variant, which is very likely to"
"Zároveň zatím nelze s absolutní jistotou říct, zda může způsobovat závažnější průběh, nakolik proti ní pomáhá očkování nebo postinfekční imunita získaná předchozím proděláním nemoci.","At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","Here is the translation of the given Czech text to English:

""Meanwhile, it is not possible to say with absolute certainty whether it can cause a more severe course, to what extent it is helped by vaccination or post-infection immunity acquired by previous illness"
Do covidové rovnice ale tento týden vstoupil také nečekaný fenomén na straně plusů: možnost léčby.,But an unexpected circumstance also entered the Covid equation this week on the plus side: the possibility of treatment.,"Here is the translation:

But this week, the COVID equation also saw an unexpected phenomenon on the plus side: the possibility of treatment."
"Do Česka dorazil nový lék, antivirotikum molnupiravir, který snižuje riziko těžkého průběhu onemocnění a s ním spojené hospitalizace o třetinu a je možné se jím léčit doma.","A new drug has arrived in the Czech Republic, the antiviral molnupiravir, which reduces the risk of severe disease and associated hospitalization by a third and also means that patients can be treated at home.","Here is the translation from Czech to English:

A new antiviral drug, molnupiravir, has arrived in the Czech Republic, which reduces the risk of severe illness and hospitalization by a third and can be treated at home."
"A brzy by ho měl doplnit také lék paxlovid od firmy Pfizer, který z dosavadních výsledků hlásí úspěšnost dokonce 85 procent.","It should also soon be complemented by Pfizer's paxlovide, which has so far reported a success rate of 85 percent.","Here is the translation:

He will soon also be supplemented by the Pfizer drug paxlovid, which reports an impressive success rate of 85 percent based on current results."
"První dodávky molnupiraviru do Česka ovšem kromě naděje na rozšíření portfolia nástrojů užitečných v boji s koronavirovou pandemií zvýraznily i otázku, jak je na příchozí léky zdejší administrativa připravená.","The first supplies of molnupiravir to arrive in the Czech Republic, however, in addition to the hope of expanding the portfolio of tools in the fight against the coronavirus pandemic, also highlighted the question of how prepared the local administration is.","Here is the translation of the text from Czech to English:

The first deliveries of molnupiravir to the Czech Republic, however, highlighted not only the hope for expanding the portfolio of useful tools in the fight against the coronavirus pandemic, but also"
"Jak bylo řečeno, první se k tuzemským pacientům dostane molnupiravir společnosti Merck.","As already mentioned, Merck's molnupiravir will be the first to reach domestic patients.","Here is the translation:

As was said, the first to reach domestic patients will be Merck's molnupiravir."
"Společnost skončila na pásce jako první i proto, že se lék začal vyvíjet dlouho před vypuknutím současné pandemie s cílem najít vhodnou léčbu pro virové onemocnění koní na jihoamerickém kontinentu.","The company was also first across the line because the drug began development long before the current pandemic broke out, with the aim of finding a suitable treatment for viral disease in horses in South America.","Here is the translation from Czech to English:

The company ended up on the right track as the first one because the drug began to be developed long before the outbreak of the current pandemic with the aim of finding a suitable treatment for viral diseases in horses on"
"U těhle výzkumu se často opomíjí to, že lidi na Západě (Německo, Švédsko atd.)","An often overlooked fact in this research is that people in the West (Germany, Sweden, etc.)","Here is the translation:

In this research, it is often overlooked that people in the West (Germany, Sweden, etc.)"
jsou obecně méně otevření a otevřeně nesdílejí své názory.,are generally less open and do not openly share their views.,"Here is the translation:

They are generally less open and do not openly share their opinions.

Note: I've tried to preserve the original meaning and nuance of the sentence, but please let me know if you'd like me to make any adjustments!"
"Zato východní Evropané, a zejména my Češi, jsme zvyklí mluvit ""jak nám zobák narostl"".","Eastern Europeans, and especially us Czechs, are used to saying ""we talk how we want"".","Here is the translation of the given text from Czech to English:

So Eastern Europeans, and especially we Czechs, are used to saying ""how did our nose grow""."
